product_name,index
wayona cable,0
ambrane cable,1
sounce phone,2
boat cable,3
portronics cable,4
ptron cable,5
mi cable,6
tp-link adapter,7
amazonbasics cable,8
mi tv,9
lg tv,10
duracell cable,11
tizum adapter,12
samsung tv,13
flix cable,14
acer tv,15
tizum cable,16
oneplus tv,17
boat,18
ambrane,19
zoul cable,20
samsung cable,21
amazonbasics charger,22
sounce cable,23
duracell,24
wecool cable,25
d-link adapter,26
amazon,27
7seven® tv,28
vw tv,29
tata,30
airtel,31
lapster cable,32
redmi tv,33
portronics,34
model-p4,35
amazon cable,36
oraimo cable,37
cedo cable,38
pinnaclz cable,39
tcl tv,40
swapkart cable,41
firestick,42
skywall tv,43
wayona charger,44
gizga adapter,45
zebronics adapter,46
lohaya tv,47
gilary cable,48
dealfreez tv,49
isoelite tv,50
crossvolt cable,51
vu tv,52
croma tv,53
cotbolt tv,54
electvision tv,55
king charger,56
belkin,57
remote tv,58
hisense tv,59
iffalcon tv,60
amazonbasics adapter,61
saifsmart cable,62
10k cable,63
lripl,64
lripl tv,65
kodak tv,66
bluerigger cable,67
generic adapter,68
7seven®,69
egate,70
zebronics cable,71
realme cable,72
syncwire cable,73
skadioo adapter,74
sony tv,75
storite cable,76
karbonn tv,77
belkin cable,78
time cable,79
caldipree tv,80
universal tv,81
amkette cable,82
popio cable,83
myvn cable,84
wzatco tv,85
crypo™,86
posh cable,87
astigo tv,88
caprigo tv,89
sonivision,90
rts™ cable,91
agaro cable,92
sansui tv,93
hi-mobiler charger,94
smashtronics® tv,95
croma,96
svm,97
cablecreation cable,98
7seven tv,99
realme tv,100
cubetek adapter,101
krisons,102
airtel tv,103
lohaya,104
astigo,105
toshiba tv,106
lenovo cable,107
tata tv,108
amazonbasics,109
tuarso cable,110
prolegend® tv,111
wanbo,112
lava adapter,113
technotech cable,114
nk adapter,115
ls cable,116
zorbes® adapter,117
synqe cable,118
bestor cable,119
irusu headphones,120
shopoflux tv,121
eynk cable,122
"lunagariya®,",123
prushti,124
aine adapter,125
redtech cable,126
amazonbasics tv,127
esr,128
fire-boltt,129
mi,130
redmi,131
oneplus,132
sandisk,133
noise,134
nokia phone,135
jbl headphones,136
samsung,137
ptron headphones,138
ptron charger,139
elv phone,140
samsung adapter,141
iqoo,142
agaro adapter,143
iqoo adapter,144
duracell charger,145
realme,146
wecool,147
oppo,148
redmi charger,149
tygot,150
portronics adapter,151
striff phone,152
sounce charger,153
ptron,154
mi charger,155
gizga cable,156
usb charger,157
goldmedal,158
hp,159
spigen,160
motorola,161
kingone,162
portronics charger,163
swapkart,164
amozo,165
tecno,166
tukzer,167
striff cable,168
myvn charger,169
newly,170
kyosei,171
striff,172
wecool phone,173
opentech®,174
en phone,175
urbn cable,176
nokia,177
boat headphones,178
iphone charger,179
liramark tablet,180
sounce,181
shreenova,182
poco,183
noise_colorfit charger,184
popio,185
10werun,186
tokdis,187
urbn,188
oraimo charger,189
lava,190
flix charger,191
prolet,192
amazon charger,193
mobilife,194
dyazo,195
logitech,196
storio tablet,197
ske tablet,198
striff tablet,199
zebronics,200
lapster charger,201
boult,202
dell,203
boya cable,204
classmate,205
3m,206
seagate,207
syvo phone,208
casio,209
tp-link,210
digitek® phone,211
gizga,212
eveready,213
pidilite,214
tygot phone,215
oakter,216
xiaomi,217
zodo,218
panasonic,219
memeho®,220
tizum,221
epson,222
quantum tv,223
rts adapter,224
logitech headphones,225
digitek,226
coi,227
fujifilm,228
jbl,229
acer,230
